detailUrl,zpid,status,homeType,streetAddress,unit,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,lotAreaValue,lotAreaUnit,listingdate
https://www.zillow.com/homedetails/255-Maitland-St-3E-Kitchener-ON-N2R-0C8/383652469_zpid/,383652469,Townhouse for sale,TOWNHOUSE,255 Maitland St #3E,# 3E,N2R0C8,Kitchener,ON,43.38817,-80.4777,499900,2,3,,,,2024-03-23
https://www.zillow.com/homedetails/50-Bryan-Ct-413-Kitchener-ON-N2A-4N4/2064702704_zpid/,2064702704,Condo for sale,CONDO,50 Bryan Ct #413,# 413,N2A4N4,Kitchener,ON,43.452858,-80.4242,540000,2,2,877,,,2024-04-22
https://www.zillow.com/homedetails/30-Bridge-St-W-302-Kitchener-ON-N2K-1K4/394545964_zpid/,394545964,Condo for sale,CONDO,30 Bridge St W #302,# 302,N2K1K4,Kitchener,ON,43.482986,-80.484314,359900,1,2,743,,,2024-04-08
https://www.zillow.com/homedetails/57-Norfolk-Cres-Kitchener-ON-N2M-3G4/366559307_zpid/,366559307,House for sale,SINGLE_FAMILY,57 Norfolk Cres,,N2M3G4,Kitchener,ON,43.436398,-80.49632,769900,2,3,1080,7018.9016,sqft,2024-06-09
https://www.zillow.com/homedetails/287-Courtland-Ave-E-Kitchener-ON-N2G-2V8/2056401618_zpid/,2056401618,House for sale,SINGLE_FAMILY,287 Courtland Ave E,,N2G2V8,Kitchener,ON,43.440117,-80.48294,739900,3,4,1800,4032.4,sqft,2024-04-29
https://www.zillow.com/homedetails/27-Weichel-St-Kitchener-ON-N2M-2A7/2064623458_zpid/,2064623458,House for sale,SINGLE_FAMILY,27 Weichel St,,N2M2A7,Kitchener,ON,43.44208,-80.51875,689000,2,4,907,6314.6991,sqft,2024-07-01
https://www.zillow.com/homedetails/423-Deer-Ridge-Dr-Kitchener-ON-N2P-2T3/350879850_zpid/,350879850,House for sale,SINGLE_FAMILY,423 Deer Ridge Dr,,N2P2T3,Kitchener,ON,43.403385,-80.415825,1740000,5,5,2682,0,sqft,2024-02-18
https://www.zillow.com/homedetails/100-Garment-St-216-Kitchener-ON-N2G-0C3/2055464787_zpid/,2055464787,Condo for sale,CONDO,100 Garment St #216,# 216,N2G0C3,Kitchener,ON,43.449997,-80.501236,349900,1,1,915,,,2024-03-08
https://www.zillow.com/homedetails/151-Ludolph-St-Kitchener-ON-N2R-0L9/367535148_zpid/,367535148,Townhouse for sale,TOWNHOUSE,151 Ludolph St,,N2R0L9,Kitchener,ON,43.381794,-80.49399,599900,2,3,,,,2024-05-14
https://www.zillow.com/homedetails/15-Cluthe-Cres-Kitchener-ON-N2P-1N1/352394168_zpid/,352394168,House for sale,SINGLE_FAMILY,15 Cluthe Cres,,N2P1N1,Kitchener,ON,43.397514,-80.45122,695000,2,4,972,,,2024-02-07
